Id,Address,ChannelType,User.UserId,User.UserAttributes.FirstName,User.UserAttributes.LastName,User.UserAttributes.Stage,User.UserAttributes.CLVTier,User.UserAttributes.PreferredChannel,User.UserAttributes.NextRecommendedOffer,User.UserAttributes.PlanType,Metrics.ChurnPrediction,Metrics.UpsellPrediction,Attributes.LastEngagement
example35,success+example35@simulator.amazonses.com,EMAIL,35,John35,Doe35,Upsell,High,Email,ProductX,Premium,0.398016097,0.477458253,2020-03-05T12:04:39.914Z
example36,success+example36@simulator.amazonses.com,EMAIL,36,John36,Doe36,Upsell,High,Email,ProductX,Standard,0.979342005,0.143711281,2020-03-05T12:04:39.914Z
example37,success+example37@simulator.amazonses.com,EMAIL,37,John37,Doe37,Upsell,Low,Email,ProductX,Standard,0.54585285,0.311161706,2020-03-05T12:04:39.914Z
example38,success+example38@simulator.amazonses.com,EMAIL,38,John38,Doe38,Upsell,Low,Email,ProductX,Premium,0.284856986,0.11039281,2020-03-05T12:04:39.914Z
example39,success+example39@simulator.amazonses.com,EMAIL,39,John39,Doe39,Upsell,High,Email,ProductX,Standard,0.179117491,0.688955433,2020-03-05T12:04:39.914Z
example40,success+example40@simulator.amazonses.com,EMAIL,40,John40,Doe40,Upsell,Low,Email,ProductX,Standard,0.969819473,0.328075381,2020-03-05T12:04:39.914Z
example41,success+example41@simulator.amazonses.com,EMAIL,41,John41,Doe41,Usage,High,Email,ProductX,Standard,0.997088784,0.098433718,2020-03-05T12:04:39.914Z
example42,success+example42@simulator.amazonses.com,EMAIL,42,John42,Doe42,Usage,Low,Email,ProductX,Standard,0.734825387,0.471933528,2020-03-05T12:04:39.914Z
example43,success+example43@simulator.amazonses.com,EMAIL,43,John43,Doe43,Upsell,Low,Email,ProductX,Premium,0.476786094,0.296767804,2020-03-05T12:04:39.914Z
example44,success+example44@simulator.amazonses.com,EMAIL,44,John44,Doe44,Upsell,High,Email,ProductX,Standard,0.504854544,0.42078798,2020-03-05T12:04:39.914Z
example45,success+example45@simulator.amazonses.com,EMAIL,45,John45,Doe45,Renewal,Low,Email,ProductX,Standard,0.643608573,0.633306951,2020-03-05T12:04:39.914Z
example46,success+example46@simulator.amazonses.com,EMAIL,46,John46,Doe46,Upsell,High,Email,ProductX,Premium,0.476676213,0.802708996,2020-03-05T12:04:39.914Z
example47,success+example47@simulator.amazonses.com,EMAIL,47,John47,Doe47,Renewal,Low,Email,ProductX,Premium,0.769224029,0.210719609,2020-03-05T12:04:39.914Z
example48,success+example48@simulator.amazonses.com,EMAIL,48,John48,Doe48,Upsell,Low,Email,ProductX,Standard,0.127320805,0.124138178,2020-03-05T12:04:39.914Z
example49,success+example49@simulator.amazonses.com,EMAIL,49,John49,Doe49,Upsell,Low,Email,ProductX,Standard,0.745581603,0.792480085,2020-03-05T12:04:39.914Z
example50,success+example50@simulator.amazonses.com,EMAIL,50,John50,Doe50,Renewal,High,Email,ProductX,Standard,0.864393879,0.884596967,2020-03-05T12:04:39.914Z
example51,success+example51@simulator.amazonses.com,EMAIL,51,John51,Doe51,Renewal,High,Email,ProductX,Premium,0.246488553,0.934463035,2020-03-05T12:04:39.914Z
example52,success+example52@simulator.amazonses.com,EMAIL,52,John52,Doe52,Usage,High,Email,ProductX,Standard,0.026300878,0.319564338,2020-03-05T12:04:39.914Z
example53,success+example53@simulator.amazonses.com,EMAIL,53,John53,Doe53,Renewal,High,Email,ProductX,Standard,0.999574002,0.413649288,2020-03-05T12:04:39.914Z
example54,success+example54@simulator.amazonses.com,EMAIL,54,John54,Doe54,Usage,Low,Email,ProductX,Standard,0.759027943,0.711316456,2020-03-05T12:04:39.914Z
example55,success+example55@simulator.amazonses.com,EMAIL,55,John55,Doe55,Renewal,High,Email,ProductX,Premium,0.291289545,0.273074604,2020-03-05T12:04:39.914Z
example56,success+example56@simulator.amazonses.com,EMAIL,56,John56,Doe56,Renewal,Low,Email,ProductX,Premium,0.988710258,0.282330688,2020-03-05T12:04:39.914Z
example57,success+example57@simulator.amazonses.com,EMAIL,57,John57,Doe57,Upsell,Low,Email,ProductX,Standard,0.338318131,0.458368033,2020-03-05T12:04:39.914Z
example58,success+example58@simulator.amazonses.com,EMAIL,58,John58,Doe58,Renewal,Low,Email,ProductX,Standard,0.672944332,0.920370474,2020-03-05T12:04:39.914Z
example59,success+example59@simulator.amazonses.com,EMAIL,59,John59,Doe59,Usage,High,Email,ProductX,Premium,0.789566578,0.589033391,2020-03-05T12:04:39.914Z
example60,success+example60@simulator.amazonses.com,EMAIL,60,John60,Doe60,Upsell,High,Email,ProductX,Premium,0.784806755,0.697932423,2020-03-05T12:04:39.914Z
example61,success+example61@simulator.amazonses.com,EMAIL,61,John61,Doe61,Usage,High,Email,ProductX,Premium,0.384756834,0.642202001,2020-03-05T12:04:39.914Z
example62,success+example62@simulator.amazonses.com,EMAIL,62,John62,Doe62,Upsell,Low,Email,ProductX,Premium,0.465444862,0.215144023,2020-03-05T12:04:39.914Z
example63,success+example63@simulator.amazonses.com,EMAIL,63,John63,Doe63,Usage,Low,Email,ProductX,Standard,0.561435197,0.308257951,2020-03-05T12:04:39.914Z
example64,success+example64@simulator.amazonses.com,EMAIL,64,John64,Doe64,Renewal,Low,Email,ProductX,Premium,0.526712099,0.285495761,2020-03-05T12:04:39.914Z
example65,success+example65@simulator.amazonses.com,EMAIL,65,John65,Doe65,Usage,High,Email,ProductX,Premium,0.844489025,0.886025165,2020-03-05T12:04:39.914Z
example66,success+example66@simulator.amazonses.com,EMAIL,66,John66,Doe66,Usage,High,Email,ProductX,Standard,0.719152473,0.002501849,2020-03-05T12:04:39.914Z
example67,success+example67@simulator.amazonses.com,EMAIL,67,John67,Doe67,Usage,Low,Email,ProductX,Premium,0.152541934,0.683875677,2020-03-05T12:04:39.914Z
example68,success+example68@simulator.amazonses.com,EMAIL,68,John68,Doe68,Renewal,High,Email,ProductX,Premium,0.258040038,0.878076881,2020-03-05T12:04:39.914Z
example69,success+example69@simulator.amazonses.com,EMAIL,69,John69,Doe69,Upsell,Low,Email,ProductX,Premium,0.392734509,0.056154565,2020-03-05T12:04:39.914Z
example70,success+example70@simulator.amazonses.com,EMAIL,70,John70,Doe70,Renewal,High,Email,ProductX,Standard,0.566025372,0.32542565,2020-03-05T12:04:39.914Z
example71,success+example71@simulator.amazonses.com,EMAIL,71,John71,Doe71,Usage,Low,Email,ProductX,Standard,0.133911582,0.143039767,2020-03-05T12:04:39.914Z
example72,success+example72@simulator.amazonses.com,EMAIL,72,John72,Doe72,Upsell,High,Email,ProductX,Standard,0.552670898,0.460273587,2020-03-05T12:04:39.914Z
example73,success+example73@simulator.amazonses.com,EMAIL,73,John73,Doe73,Renewal,High,Email,ProductX,Premium,0.420191566,0.858897146,2020-03-05T12:04:39.914Z
example74,success+example74@simulator.amazonses.com,EMAIL,74,John74,Doe74,Usage,Low,Email,ProductX,Standard,0.773164888,0.089708453,2020-03-05T12:04:39.914Z
example75,success+example75@simulator.amazonses.com,EMAIL,75,John75,Doe75,Upsell,Low,Email,ProductX,Standard,0.183743165,0.174902739,2020-03-05T12:04:39.914Z
example76,success+example76@simulator.amazonses.com,EMAIL,76,John76,Doe76,Upsell,High,Email,ProductX,Premium,0.083253667,0.108845841,2020-03-05T12:04:39.914Z
example77,success+example77@simulator.amazonses.com,EMAIL,77,John77,Doe77,Usage,Low,Email,ProductX,Standard,0.520527164,0.752876496,2020-03-05T12:04:39.914Z
example78,success+example78@simulator.amazonses.com,EMAIL,78,John78,Doe78,Usage,High,Email,ProductX,Standard,0.671214182,0.721666682,2020-03-05T12:04:39.914Z
example79,success+example79@simulator.amazonses.com,EMAIL,79,John79,Doe79,Upsell,Low,Email,ProductX,Standard,0.427350629,0.388333122,2020-03-05T12:04:39.914Z
example80,success+example80@simulator.amazonses.com,EMAIL,80,John80,Doe80,Renewal,Low,Email,ProductX,Standard,0.587249398,0.069861729,2020-03-05T12:04:39.914Z
example81,success+example81@simulator.amazonses.com,EMAIL,81,John81,Doe81,Renewal,High,Email,ProductX,Premium,0.624510767,0.853468438,2020-03-05T12:04:39.914Z
example82,success+example82@simulator.amazonses.com,EMAIL,82,John82,Doe82,Upsell,Low,Email,ProductX,Standard,0.388972693,0.570964282,2020-03-05T12:04:39.914Z
example83,success+example83@simulator.amazonses.com,EMAIL,83,John83,Doe83,Usage,Low,Email,ProductX,Standard,0.452671202,0.493471389,2020-03-05T12:04:39.914Z
example84,success+example84@simulator.amazonses.com,EMAIL,84,John84,Doe84,Usage,Low,Email,ProductX,Standard,0.093844161,0.01043174,2020-03-05T12:04:39.914Z
example85,success+example85@simulator.amazonses.com,EMAIL,85,John85,Doe85,Usage,High,Email,ProductX,Standard,0.73903804,0.103953181,2020-03-05T12:04:39.914Z
example86,success+example86@simulator.amazonses.com,EMAIL,86,John86,Doe86,Renewal,Low,Email,ProductX,Standard,0.042775317,0.037334056,2020-03-05T12:04:39.914Z
example87,success+example87@simulator.amazonses.com,EMAIL,87,John87,Doe87,Renewal,High,Email,ProductX,Premium,0.356254822,0.843090994,2020-03-05T12:04:39.914Z
example88,success+example88@simulator.amazonses.com,EMAIL,88,John88,Doe88,Renewal,Low,Email,ProductX,Premium,0.840727888,0.333529517,2020-03-05T12:04:39.914Z
example89,success+example89@simulator.amazonses.com,EMAIL,89,John89,Doe89,Usage,Low,Email,ProductX,Standard,0.197908379,0.739111924,2020-03-05T12:04:39.914Z
example90,success+example90@simulator.amazonses.com,EMAIL,90,John90,Doe90,Renewal,High,Email,ProductX,Premium,0.85225262,0.497778699,2020-03-05T12:04:39.914Z
example91,success+example91@simulator.amazonses.com,EMAIL,91,John91,Doe91,Usage,Low,Email,ProductX,Standard,0.292450613,0.256241601,2020-03-05T12:04:39.914Z
example92,success+example92@simulator.amazonses.com,EMAIL,92,John92,Doe92,Upsell,Low,Email,ProductX,Standard,0.91275634,0.13068973,2020-03-05T12:04:39.914Z
example93,success+example93@simulator.amazonses.com,EMAIL,93,John93,Doe93,Upsell,High,Email,ProductX,Standard,0.332423426,0.021445463,2020-03-05T12:04:39.914Z
example94,success+example94@simulator.amazonses.com,EMAIL,94,John94,Doe94,Upsell,High,Email,ProductX,Premium,0.568379903,0.22885813,2020-03-05T12:04:39.914Z
example95,success+example95@simulator.amazonses.com,EMAIL,95,John95,Doe95,Upsell,Low,Email,ProductX,Premium,0.284030299,0.403863096,2020-03-05T12:04:39.914Z
example96,success+example96@simulator.amazonses.com,EMAIL,96,John96,Doe96,Usage,High,Email,ProductX,Standard,0.660885996,0.279795915,2020-03-05T12:04:39.914Z
example97,success+example97@simulator.amazonses.com,EMAIL,97,John97,Doe97,Usage,Low,Email,ProductX,Premium,0.274033831,0.081601657,2020-03-05T12:04:39.914Z
example98,success+example98@simulator.amazonses.com,EMAIL,98,John98,Doe98,Usage,High,Email,ProductX,Premium,0.874369491,0.269218005,2020-03-05T12:04:39.914Z
example99,success+example99@simulator.amazonses.com,EMAIL,99,John99,Doe99,Usage,Low,Email,ProductX,Premium,0.914792645,0.621263346,2020-03-05T12:04:39.914Z
example100,success+example100@simulator.amazonses.com,EMAIL,100,John100,Doe100,Upsell,High,Email,ProductX,Premium,0.425943585,0.480007755,2020-03-05T12:04:39.914Z
example101,success+example101@simulator.amazonses.com,EMAIL,101,John101,Doe101,Renewal,High,Email,ProductX,Standard,0.486661896,0.989110003,2020-03-05T12:04:39.914Z
example102,success+example102@simulator.amazonses.com,EMAIL,102,John102,Doe102,Renewal,High,Email,ProductX,Standard,0.212927993,0.383130099,2020-03-05T12:04:39.914Z
example103,success+example103@simulator.amazonses.com,EMAIL,103,John103,Doe103,Upsell,High,Email,ProductX,Standard,0.43617713,0.527593245,2020-03-05T12:04:39.914Z
example104,success+example104@simulator.amazonses.com,EMAIL,104,John104,Doe104,Usage,Low,Email,ProductX,Premium,0.290178021,0.049023675,2020-03-05T12:04:39.914Z
example105,success+example105@simulator.amazonses.com,EMAIL,105,John105,Doe105,Usage,Low,Email,ProductX,Standard,0.080301595,0.034220884,2020-03-05T12:04:39.914Z
example106,success+example106@simulator.amazonses.com,EMAIL,106,John106,Doe106,Usage,High,Email,ProductX,Premium,0.853399592,0.244659026,2020-03-05T12:04:39.914Z
example107,success+example107@simulator.amazonses.com,EMAIL,107,John107,Doe107,Upsell,Low,Email,ProductX,Standard,0.745145851,0.390642894,2020-03-05T12:04:39.914Z
example108,success+example108@simulator.amazonses.com,EMAIL,108,John108,Doe108,Usage,High,Email,ProductX,Premium,0.156350993,0.887145153,2020-03-05T12:04:39.914Z
example109,success+example109@simulator.amazonses.com,EMAIL,109,John109,Doe109,Usage,Low,Email,ProductX,Premium,0.485535214,0.174406555,2020-03-05T12:04:39.914Z
example110,success+example110@simulator.amazonses.com,EMAIL,110,John110,Doe110,Usage,High,Email,ProductX,Premium,0.96026514,0.912777947,2020-03-05T12:04:39.914Z
example111,success+example111@simulator.amazonses.com,EMAIL,111,John111,Doe111,Upsell,High,Email,ProductX,Premium,0.163244549,0.738727214,2020-03-05T12:04:39.914Z
example112,success+example112@simulator.amazonses.com,EMAIL,112,John112,Doe112,Usage,High,Email,ProductX,Premium,0.358670604,0.274227669,2020-03-05T12:04:39.914Z
example113,success+example113@simulator.amazonses.com,EMAIL,113,John113,Doe113,Usage,Low,Email,ProductX,Standard,0.361230815,0.950523988,2020-03-05T12:04:39.914Z
example114,success+example114@simulator.amazonses.com,EMAIL,114,John114,Doe114,Upsell,High,Email,ProductX,Premium,0.447792436,0.343564956,2020-03-05T12:04:39.914Z
example115,success+example115@simulator.amazonses.com,EMAIL,115,John115,Doe115,Usage,Low,Email,ProductX,Standard,0.926402054,0.965749475,2020-03-05T12:04:39.914Z
example116,success+example116@simulator.amazonses.com,EMAIL,116,John116,Doe116,Renewal,Low,Email,ProductX,Premium,0.138737758,0.500554142,2020-03-05T12:04:39.914Z
example117,success+example117@simulator.amazonses.com,EMAIL,117,John117,Doe117,Upsell,Low,Email,ProductX,Premium,0.869429431,0.892459382,2020-03-05T12:04:39.914Z
example118,success+example118@simulator.amazonses.com,EMAIL,118,John118,Doe118,Renewal,Low,Email,ProductX,Premium,0.31693653,0.031708087,2020-03-05T12:04:39.914Z
example119,success+example119@simulator.amazonses.com,EMAIL,119,John119,Doe119,Renewal,Low,Email,ProductX,Standard,0.907697458,0.731164967,2020-03-05T12:04:39.914Z
example120,success+example120@simulator.amazonses.com,EMAIL,120,John120,Doe120,Upsell,High,Email,ProductX,Standard,0.891863755,0.383578062,2020-03-05T12:04:39.914Z
example121,success+example121@simulator.amazonses.com,EMAIL,121,John121,Doe121,Upsell,Low,Email,ProductX,Premium,0.014120766,0.253205385,2020-03-05T12:04:39.914Z
example122,success+example122@simulator.amazonses.com,EMAIL,122,John122,Doe122,Renewal,High,Email,ProductX,Premium,0.108721217,0.593984278,2020-03-05T12:04:39.914Z
example123,success+example123@simulator.amazonses.com,EMAIL,123,John123,Doe123,Usage,Low,Email,ProductX,Standard,0.860134785,0.641136751,2020-03-05T12:04:39.914Z
example124,success+example124@simulator.amazonses.com,EMAIL,124,John124,Doe124,Usage,High,Email,ProductX,Standard,0.860999327,0.426736069,2020-03-05T12:04:39.914Z
example125,success+example125@simulator.amazonses.com,EMAIL,125,John125,Doe125,Usage,High,Email,ProductX,Standard,0.772169237,0.864387532,2020-03-05T12:04:39.914Z
example126,success+example126@simulator.amazonses.com,EMAIL,126,John126,Doe126,Upsell,Low,Email,ProductX,Standard,0.3393186,0.987209511,2020-03-05T12:04:39.914Z
example127,success+example127@simulator.amazonses.com,EMAIL,127,John127,Doe127,Usage,Low,Email,ProductX,Standard,0.293049316,0.505075815,2020-03-05T12:04:39.914Z
example128,success+example128@simulator.amazonses.com,EMAIL,128,John128,Doe128,Renewal,Low,Email,ProductX,Premium,0.107679527,0.112575004,2020-03-05T12:04:39.914Z
example129,success+example129@simulator.amazonses.com,EMAIL,129,John129,Doe129,Upsell,High,Email,ProductX,Premium,0.435578799,0.290305371,2020-03-05T12:04:39.914Z
example130,success+example130@simulator.amazonses.com,EMAIL,130,John130,Doe130,Usage,Low,Email,ProductX,Premium,0.440793911,0.245276848,2020-03-05T12:04:39.914Z
example131,success+example131@simulator.amazonses.com,EMAIL,131,John131,Doe131,Renewal,Low,Email,ProductX,Premium,0.234798232,0.046115847,2020-03-05T12:04:39.914Z
example132,success+example132@simulator.amazonses.com,EMAIL,132,John132,Doe132,Upsell,Low,Email,ProductX,Premium,0.672531897,0.926496228,2020-03-05T12:04:39.914Z
example133,success+example133@simulator.amazonses.com,EMAIL,133,John133,Doe133,Renewal,Low,Email,ProductX,Premium,0.197078006,0.064510436,2020-03-05T12:04:39.914Z
example134,success+example134@simulator.amazonses.com,EMAIL,134,John134,Doe134,Upsell,Low,Email,ProductX,Premium,0.933705817,0.14801412,2020-03-05T12:04:39.914Z
example135,success+example135@simulator.amazonses.com,EMAIL,135,John135,Doe135,Renewal,High,Email,ProductX,Standard,0.507690486,0.266704145,2020-03-05T12:04:39.914Z
example136,success+example136@simulator.amazonses.com,EMAIL,136,John136,Doe136,Usage,Low,Email,ProductX,Premium,0.343512635,0.582807796,2020-03-05T12:04:39.914Z
example137,success+example137@simulator.amazonses.com,EMAIL,137,John137,Doe137,Upsell,Low,Email,ProductX,Standard,0.244692021,0.311588687,2020-03-05T12:04:39.914Z
example138,success+example138@simulator.amazonses.com,EMAIL,138,John138,Doe138,Usage,High,Email,ProductX,Standard,0.243154245,0.859916524,2020-03-05T12:04:39.914Z
example139,success+example139@simulator.amazonses.com,EMAIL,139,John139,Doe139,Upsell,Low,Email,ProductX,Premium,0.160484076,0.845920903,2020-03-05T12:04:39.914Z
example140,success+example140@simulator.amazonses.com,EMAIL,140,John140,Doe140,Upsell,High,Email,ProductX,Standard,0.005656905,0.226304666,2020-03-05T12:04:39.914Z
example141,success+example141@simulator.amazonses.com,EMAIL,141,John141,Doe141,Usage,Low,Email,ProductX,Standard,0.863809955,0.786751113,2020-03-05T12:04:39.914Z
example142,success+example142@simulator.amazonses.com,EMAIL,142,John142,Doe142,Upsell,High,Email,ProductX,Standard,0.641217417,0.464444752,2020-03-05T12:04:39.914Z
example143,success+example143@simulator.amazonses.com,EMAIL,143,John143,Doe143,Renewal,Low,Email,ProductX,Standard,0.870087475,0.612352987,2020-03-05T12:04:39.914Z
example144,success+example144@simulator.amazonses.com,EMAIL,144,John144,Doe144,Renewal,High,Email,ProductX,Standard,0.630228564,0.400763751,2020-03-05T12:04:39.914Z
example145,success+example145@simulator.amazonses.com,EMAIL,145,John145,Doe145,Renewal,Low,Email,ProductX,Premium,0.070030864,0.21037466,2020-03-05T12:04:39.914Z
example146,success+example146@simulator.amazonses.com,EMAIL,146,John146,Doe146,Renewal,Low,Email,ProductX,Standard,0.185484526,0.776984951,2020-03-05T12:04:39.914Z
example147,success+example147@simulator.amazonses.com,EMAIL,147,John147,Doe147,Upsell,High,Email,ProductX,Premium,0.186871505,0.865450894,2020-03-05T12:04:39.914Z
example148,success+example148@simulator.amazonses.com,EMAIL,148,John148,Doe148,Renewal,High,Email,ProductX,Premium,0.18874478,0.700076852,2020-03-05T12:04:39.914Z
example149,success+example149@simulator.amazonses.com,EMAIL,149,John149,Doe149,Upsell,High,Email,ProductX,Standard,0.023984562,0.267534549,2020-03-05T12:04:39.914Z
example150,success+example150@simulator.amazonses.com,EMAIL,150,John150,Doe150,Usage,High,Email,ProductX,Premium,0.492684589,0.765858385,2020-03-05T12:04:39.914Z
example151,success+example151@simulator.amazonses.com,EMAIL,151,John151,Doe151,Upsell,Low,Email,ProductX,Premium,0.73007699,0.691647609,2020-03-05T12:04:39.914Z
example152,success+example152@simulator.amazonses.com,EMAIL,152,John152,Doe152,Usage,Low,Email,ProductX,Standard,0.299052876,0.399611262,2020-03-05T12:04:39.914Z
example153,success+example153@simulator.amazonses.com,EMAIL,153,John153,Doe153,Renewal,High,Email,ProductX,Standard,0.421390785,0.154181287,2020-03-05T12:04:39.914Z
example154,success+example154@simulator.amazonses.com,EMAIL,154,John154,Doe154,Upsell,Low,Email,ProductX,Standard,0.349770619,0.065608058,2020-03-05T12:04:39.914Z
example155,success+example155@simulator.amazonses.com,EMAIL,155,John155,Doe155,Usage,High,Email,ProductX,Premium,0.569795204,0.00874491,2020-03-05T12:04:39.914Z
example156,success+example156@simulator.amazonses.com,EMAIL,156,John156,Doe156,Upsell,High,Email,ProductX,Premium,0.339272632,0.330093279,2020-03-05T12:04:39.914Z
example157,success+example157@simulator.amazonses.com,EMAIL,157,John157,Doe157,Usage,Low,Email,ProductX,Premium,0.116559852,0.949598905,2020-03-05T12:04:39.914Z
example158,success+example158@simulator.amazonses.com,EMAIL,158,John158,Doe158,Upsell,High,Email,ProductX,Standard,0.1937606,0.483452922,2020-03-05T12:04:39.914Z
example159,success+example159@simulator.amazonses.com,EMAIL,159,John159,Doe159,Upsell,Low,Email,ProductX,Premium,0.993319327,0.917046786,2020-03-05T12:04:39.914Z
example160,success+example160@simulator.amazonses.com,EMAIL,160,John160,Doe160,Upsell,High,Email,ProductX,Standard,0.019769412,0.429252733,2020-03-05T12:04:39.914Z
example161,success+example161@simulator.amazonses.com,EMAIL,161,John161,Doe161,Usage,High,Email,ProductX,Premium,0.842061812,0.430078683,2020-03-05T12:04:39.914Z
example162,success+example162@simulator.amazonses.com,EMAIL,162,John162,Doe162,Upsell,Low,Email,ProductX,Premium,0.043557399,0.663872237,2020-03-05T12:04:39.914Z
example163,success+example163@simulator.amazonses.com,EMAIL,163,John163,Doe163,Renewal,Low,Email,ProductX,Standard,0.361055437,0.639232728,2020-03-05T12:04:39.914Z
example164,success+example164@simulator.amazonses.com,EMAIL,164,John164,Doe164,Usage,High,Email,ProductX,Premium,0.303684668,0.623395946,2020-03-05T12:04:39.914Z
